Type of Polymer 	Utilisation (2-1-0.5-0.25-0) / Recuento	Plastchem ID	CAS Number	Additives	Molecular formula	Molecular weight (g/mol)	Toxicity score (<0,5)
PBAT+PLA	13	1205	112-05-0	Nonanoic acid / Pelargonic acid	C10H9ClN4S	158,24	0,5
PBAT+PLA	12	11630	66-25-1	Hexanal	C6H12O	100,16	0,5
PBAT+PLA	12	1972	124-07-2	Octanoic acid	C8H16O2	144,21	0,5
PBAT+PLA	11	10042	57-10-3	n-Hexadecanoic acid / Palmitic Acid	C16H32O2	256,42	0,5
PBAT+PLA	10	1221	112-31-2	Decanal	C10H20O	156,26	0,5
PBAT+PLA	10	1115	111-71-7	Heptanal	C7H14O	114,19	1
PBAT+PLA	10	1976	124-13-0	Octanal	C8H16O	128,21	0,5
PBAT+PLA	10	934	109-52-4	Valeric acid / Pentanoic acid	C5H10O2	102,13	0,5
PBAT+PLA	9	12627	693-54-9	2-Decanone	C10H20O	156,26	1
PBAT+PLA	9	15985	98-01-1	Furfural	C5H4O2	96,08	1
PBAT+PLA	9	7497	334-48-5	n-Decanoic acid / Capric acid	C10H20O2	172,26	0,5
PBAT+PLA	9	14572	85-44-9	Phthalic anhydride	C8H4O3	148,11	2
PBAT+PLA	8	1082	111-13-7	2-Octanone	C8H16O	128,21	0,5
PBAT+PLA	8	1231	112-44-7	Undecanal	C11H22O	170,29	1
PBAT+PLA	7	10715	6175-49-1	2-Dodecanone	C12H24O	184,32	1
PBAT+PLA	7	1238	112-54-9	Dodecanal	C12H24O	184,32	1
PBAT+PLA	7	9670	544-63-8	Myristic Acid / Tetradecanoic acid	C14H28O2	228,37	1
PBAT+PLA	7	547	10486-19-8	Tridecanal	C13H26O	198,34	1
PBAT+PLA	6	13981	78-93-3	Methyl Ethyl Ketone / 2-Butanone	C4H8O	72,11	2
PBAT+PLA	6	14317	821-55-6	2-Nonanone	C9H18O	142,24	0,5
PBAT+PLA	5	14458	84-66-2	Diethyl Phthalate	C12H14O4	222,24	2
PBAT+PLA	5	857	108-31-6	Maleic anhydride	C4H2O3	98,06	2
PBAT+PLA	4	5489	2463-77-6	2-Undecenal	C11H20O	168,28	1
PBAT+PLA	3	371	103-23-1	Hexanedioic acid / Bis(2-ethylhexyl) adipate	C22H42O4	370,6	2
PBAT+PLA	3	11031	629-59-4	Tetradecane	C14H30	198,39	0,5
PBAT+PLA	2	11221	638-65-3	Stearonitrile / Octadecanenitrile	C18H35N	265,5	2
PBAT+PLA	1	1260	112-91-4	Oleonitrile	C18H33N	263,5	2
PBAT+PLA	1	8525	4291-79-6	Cyclohexane, 1-methyl-2-propyl-	C10H20	140,27	0,5
PBAT+PLA	1	5531	24851-98-7	Methyl dihydrojasmonate	C13H22O3	226,31	0,5
PBAT+PLA	1	14323	822-06-0	Hexane, 1,6-diisocyanato- / Hexamethylene diisocyanate	C8H12N2O2	168,19	2
PBAT+PLA	1	57	1002-84-2	Pentadecanoic acid	C15H30O2	242,4	0,5
PBAT+PLA	1	564	105-38-4	Propanoic acid, ethenyl ester / Vinyl propionate	C5H8O2	100,12	0,5
PLA	1	371	103-23-1	Hexanedioic acid / Bis(2-ethylhexyl) adipate	C22H42O4	370,6	2
PLA	1	485	104-35-8	Nonoxinol	C17H28O2	264,4	2
PLA	1	487	104-40-5	4-Nonylphenol	C15H24O	220,35	2
PLA	1	1253	112-80-1	Oleic Acid	C18H34O2	282,5	0,5
PLA	1	1368	115-86-6	Triphenyl phosphate	C18H15O4P	326,3	1
PLA	2	1468	118-82-1	4,4'-Methylenebis(2,6-DI-tert-butylphenol)	C29H44O2	424,7	1
PLA	2	2140	128-37-0	Butylated Hydroxytoluene	C15H24O	220,35	2
PLA	1	2275	131-11-3	Dimethyl Phthalate	C10H10O4	194,18	1
